Date,Global_Total_GHG_emissions,Global_Non-energy_related_GHG_emissions,Global_Energy-related_GHG_emissions ,GlobalTotal_CO2_emissions,Global_Nonenergy_related_CO2_emissions,Global_Energy_related_CO2_emissions,Global_Oil_CO2Emissions,GlobaNatural_gas_Emissions,Global_Coal_Emissions,Global_Biomass_EmmissionReduction,Global_CO2_Emissions_per_GDP,Global_CO2_Emissionsper_Capita,GlobalCO2_Emissions_per_Primary_Energy_Consumption,Global_CO2_Emissions_relative_to_2005_Level,Carbontax_United_States,CO2_Emissions_per_GDP_metrictonnes_CO2_equivalent_per_real _million_USD,CO2_Emissions_per_Capita_metric_tonnes_CO2_ equivalent_per_person),Population_million_people,Global_Total_Energy_Demand_MTOE,Global_Total_Electricity_Demand_MTOE,Global_Oil_Demand_MTOE,Global_Natural_gas_demandMTOE,Global_CoalMTOE,Global_Hydrogen_Demand_MTOE,GlobalTraditional_biomassMTOE,GlobalModern_biomassMTOE,Primary_Energy_Oil_percent,Primary_Energy_Gas_percent,Primary_Coal_percent,Primary_Nuclear_percent,Primary_Hydro_percent,Primary_Renewables_percent,Primary_Modern_biomass_percent,Primary_Other_percent,Africa_MTOE,Asia_Pacific_MTOE,OECD_Asia_Pacific_MTOE,Non-OECD_Asia_Pacific_MTOE,Southeast_Asia_Pacific_MTOE,CIS_MTO ,Europe_MTOE,European_Union_MTOE,Non-EU_MTOE,Latin_America_MTOE,Middle_East_MTOE,North_America_MTOE,OECD_MTOE,Non-OECD_MTOE,Global_Total_energy _consumption,Residential_MTOE,Agricultural_MTOE,Commercial_MTOE,Industry_MTOE,Feedstocks_MTOE,Transport_MTOE,Road_transport_MTOE,Rail_MTOE,Aviation_MTOE,Marine_bunkers_MTOE,Other_transport_MTOE,Total_Demand_by_sector_MTOE,Global_Residential_Emissions,Global_Commercial_emissions,Global_Agricultural_emmissions,Global_Transportation_Emissions,Global_Road_transport_emissions,Global_Rail_emissions,Global_Aviation_emmissions,Global_Marine_ bunkers_emmisions,Global_Other_transport_emmission,Global_Industrial_CO2,Global_Electric_CO2,Global_District_ heating_CO2,Global_Other_CO2,Total,Carbontax_Canada,CarbonTax_China_mainland,Carbontax_France,Carbontax_Germany,Carbontax_Italy,Carbontax_Japan,Carbontax_United_Kingdom,Carbontax_United_States_01,Global_Energy-related_CO2 captured_saved_by_fuel,Oil_emissions_captured_saved,NGAS_emissions_captured_saved,Coal_emissions_captured_saved,Biomass_emissions_captured_saved,Industrial_CO2_captured_Saved,District_heating_captured_saved,Electric_power_captured_saved
2034,"34,735","9,872","24,864","24,097",60,"24,037","7,938","7,110","8,992",-3,193.2,2.7,1.7,0.85,$90.18,193.2,2.7,"8,817","9,852.1","2,801.0","2,835.6","1,403.0",504.5,572.0,889.1,444.0,22.8,21.8,15.7,3.4,7.0,16.0,7.0,6.2,872.0,"4,379.9",482.8,"3,897.1",592.0,718.5,"1,117.0",851.4,265.6,542.9,635.5,"1,586.3","3,174.8","6,677.3","9,852.1","2,540.9",213.1,"1,022.2","2,549.0",951.9,"2,575.0","1,824.2",95.2,321.4,240.1,94.1,"9,852.1","1,800",812,366,"5,136","3,818",38,714,354,212,"5,727","7,423",512,"2,261","24,037",$162.26,$66.13,$144.29,$144.29,$108.22,$96.19,$144.29,$90.18,32.8,1.9,22.0,6.0,2.9,23.0,0.0,9.8
2035,"31,966","8,907","23,058","21,938",-540,"22,478","7,439","6,713","8,370",-43,176.5,2.5,1.6,0.79,$100.24,176.5,2.5,"8,883","9,734.5","2,887.0","2,670.9","1,366.3",472.0,593.9,900.7,439.5,21.8,20.9,14.8,3.6,7.2,18.1,7.2,6.3,889.2,"4,329.9",465.9,"3,864.0",590.8,714.6,"1,086.5",826.1,260.4,543.8,634.6,"1,535.8","3,077.3","6,657.2","9,734.5","2,546.7",212.6,"1,024.0","2,502.0",937.4,"2,511.7","1,761.5",102.1,322.0,233.5,92.7,"9,734.5","1,743",786,359,"4,732","3,488",36,690,311,208,"5,536","6,746",426,"2,150","22,478",$168.68,$75.18,$150.36,$150.36,$115.27,$105.25,$150.36,$100.24,82.1,1.9,30.9,5.9,43.4,31.9,0.0,50.2
2036,"29,007","7,798","21,210","19,432","-1,256","20,688","6,967","6,265","7,538",-82,158.8,2.3,1.5,0.73,$110.31,158.8,2.3,"8,947","9,616.5","2,971.0","2,507.8","1,329.5",441.8,611.1,912.8,436.3,20.9,19.9,13.6,3.6,7.4,20.5,7.5,6.5,907.3,"4,284.5",449.3,"3,835.3",589.5,709.2,"1,056.8",801.3,255.4,543.7,633.0,"1,482.0","2,977.3","6,639.2","9,616.5","2,552.5",212.2,"1,025.9","2,452.9",921.4,"2,451.5","1,702.0",109.2,322.2,226.7,91.3,"9,616.5","1,684",759,353,"4,336","3,157",34,665,276,205,"5,320","5,851",349,"2,037","20,688",$175.12,$84.24,$156.44,$156.44,$122.34,$114.32,$156.44,$110.31,134.0,1.9,44.0,5.9,82.1,45.0,0.0,89.0
2037,"26,019","6,588","19,432","16,861","-2,059","18,920","6,517","5,803","6,720",-120,141.9,2.1,1.4,0.67,$120.40,141.9,2.1,"9,010","9,490.4","3,054.4","2,347.5","1,288.5",413.7,625.5,921.7,432.4,20.1,18.9,12.3,3.7,7.7,23.0,7.6,6.7,924.5,"4,234.9",433.0,"3,802.0",587.1,701.7,"1,027.5",777.1,250.4,543.5,629.5,"1,428.8","2,878.8","6,611.7","9,490.4","2,551.8",211.7,"1,026.3","2,401.7",903.0,"2,395.9","1,644.9",119.8,322.1,220.1,89.1,"9,490.4","1,621",728,347,"3,960","2,840",32,641,248,200,"5,067","4,988",274,"1,933","18,920",$181.57,$93.31,$162.54,$162.54,$129.43,$123.41,$162.54,$120.40,189.9,1.9,61.9,6.0,120.1,62.9,0.0,127.0
2038,"22,981","5,344","17,637","14,242","-2,889","17,131","6,109","5,297","5,879",-153,125.6,1.9,1.3,0.61,$130.51,125.6,1.9,"9,073","9,367.0","3,132.9","2,197.3","1,246.6",387.2,636.2,929.7,429.1,19.3,17.7,11.0,3.8,7.9,25.7,7.8,6.9,939.6,"4,185.3",417.6,"3,767.6",582.9,694.2,"1,000.4",754.3,246.0,543.4,624.3,"1,379.9","2,787.7","6,579.3","9,367.0","2,551.2",211.1,"1,028.1","2,349.1",880.6,"2,346.9","1,595.2",130.1,321.2,213.1,87.2,"9,367.0","1,558",699,339,"3,628","2,561",30,614,227,195,"4,754","4,110",210,"1,834","17,131",$188.05,$102.40,$168.66,$168.66,$136.53,$132.52,$168.66,$130.51,243.9,1.9,82.7,6.0,153.3,83.7,0.0,160.2
2039,"20,220","4,113","16,108","11,900","-3,708","15,608","5,754","4,863","5,182",-191,111.8,1.7,1.2,0.55,$140.63,111.8,1.7,"9,134","9,246.5","3,199.2","2,065.4","1,206.8",362.4,643.3,935.1,424.8,18.5,16.6,9.8,3.9,8.0,28.0,8.0,7.0,952.3,"4,137.4",403.6,"3,733.8",578.8,686.2,975.2,733.1,242.1,542.3,618.6,"1,334.6","2,703.6","6,543.0","9,246.5","2,547.2",210.4,"1,029.7","2,296.0",858.5,"2,304.7","1,551.4",140.5,320.1,206.6,86.0,"9,246.5","1,496",669,331,"3,349","2,326",29,588,214,192,"4,385","3,474",159,"1,745","15,608",$194.53,$111.50,$174.79,$174.79,$143.65,$141.64,$174.79,$140.63,304.3,1.9,105.1,6.0,191.3,106.1,0.0,198.2
2040,"18,129","2,924","15,204","10,220","-4,486","14,706","5,457","4,565","4,915",-232,103.0,1.6,1.1,0.52,$150.78,103.0,1.6,"9,194","9,131.7","3,258.7","1,950.6","1,167.9",339.2,648.7,939.2,415.7,17.7,15.8,9.3,4.0,8.2,29.6,8.2,7.1,962.6,"4,091.6",390.6,"3,700.9",574.3,678.0,951.7,713.7,238.0,541.2,611.1,"1,295.6","2,628.7","6,503.0","9,131.7","2,543.4",209.7,"1,032.3","2,241.2",835.1,"2,269.9","1,515.2",150.8,318.9,200.0,84.9,"9,131.7","1,438",642,322,"3,124","2,141",27,564,202,190,"3,980","3,424",115,"1,661","14,706",$201.04,$120.63,$180.94,$180.94,$150.78,$150.78,$180.94,$150.78,365.4,1.9,125.9,6.0,231.6,126.9,0.0,238.5
2041,"15,866","1,794","14,072","8,371","-5,208","13,578","5,169","4,235","4,478",-304,93.0,1.5,1.0,0.48,$165.98,93.0,1.5,"9,252.7","9,011.6","3,320.1","1,839.7","1,126.2",317.2,655.8,940.3,399.4,16.8,14.8,8.5,4.1,9.5,30.8,8.4,7.1,969.5,"4,044.7",378.0,"3,666.7",569.5,667.7,928.2,694.4,233.8,541.1,603.0,"1,257.4","2,555.3","6,456.3","9,011.6","2,532.1",209.1,"1,033.9","2,186.4",812.8,"2,237.3","1,480.7",161.3,317.4,193.9,84.0,"9,011.6","1,371",612,314,"2,914","1,976",26,533,192,187,"3,581","3,140",70,"1,576","13,578",$211.25,$138.82,$193.14,$193.14,$165.98,$165.98,$193.14,$165.98,453.9,1.9,141.8,6.0,304.2,142.9,0.0,311.1
2042,"13,783",726,"13,057","6,709","-5,860","12,569","4,930","3,924","4,067",-352,84.1,1.3,0.9,0.44,$181.21,84.1,1.3,"9,310.5","8,908.3","3,374.8","1,743.7","1,088.5",296.3,662.1,940.4,387.6,16.1,13.9,7.7,4.1,10.7,32.0,8.5,7.1,974.9,"4,004.9",366.9,"3,638.0",564.9,658.4,907.0,676.9,230.1,541.9,593.9,"1,227.2","2,493.6","6,414.7","8,908.3","2,522.1",208.4,"1,037.3","2,132.7",791.5,"2,216.3","1,457.5",171.9,315.7,188.2,82.9,"8,908.3","1,310",583,306,"2,747","1,852",25,502,182,185,"3,246","2,843",43,"1,491","12,569",$221.48,$157.05,$205.37,$205.37,$181.21,$181.21,$205.37,$181.21,512.4,1.9,152.3,6.0,352.3,153.3,0.0,359.2
2043,"11,818",-286,"12,105","5,181","-6,439","11,620","4,716","3,652","3,653",-401,75.9,1.2,0.9,0.41,$196.48,75.9,1.2,"9,367.2","8,814.9","3,426.4","1,655.8","1,052.8",276.5,668.3,938.6,379.3,15.4,13.0,7.0,4.2,11.8,32.9,8.6,7.1,978.2,"3,969.9",356.4,"3,613.5",560.5,649.8,887.4,660.7,226.7,542.8,585.6,"1,201.2","2,438.3","6,376.5","8,814.9","2,511.1",207.9,"1,041.5","2,080.5",770.5,"2,203.4","1,441.7",182.8,314.1,182.6,82.2,"8,814.9","1,251",555,298,"2,601","1,749",24,471,174,183,"2,989","2,491",27,"1,408","11,620",$231.74,$175.32,$217.64,$217.64,$196.48,$196.48,$217.64,$196.48,567.1,1.9,157.7,6.0,401.4,158.7,0.0,408.3
2044,"9,850","-1,255","11,105","3,684","-6,942","10,626","4,519","3,425","3,150",-468,67.9,1.1,0.8,0.38,$211.78,67.9,1.1,"9,422.6","8,726.0","3,476.3","1,572.5","1,017.7",257.7,674.2,935.8,371.1,14.7,12.3,6.0,4.3,12.9,33.8,8.9,7.1,980.2,"3,938.9",346.6,"3,592.3",556.0,641.0,868.4,644.9,223.5,544.3,576.9,"1,176.4","2,385.5","6,340.5","8,726.0","2,499.8",207.3,"1,046.9","2,029.1",748.7,"2,194.2","1,429.6",193.9,312.3,177.3,81.2,"8,726.0","1,191",529,289,"2,469","1,657",23,442,165,181,"2,800","2,000",17,"1,332","10,626",$242.04,$193.63,$229.94,$229.94,$211.78,$211.78,$229.94,$211.78,635.8,1.9,160.4,6.0,467.5,161.4,0.0,474.4
2045,"7,913","-2,192","10,105","2,257","-7,372","9,629","4,305","3,199","2,691",-566,60.1,1.0,0.7,0.34,$227.12,60.1,1.0,"9,476.9","8,632.9","3,525.0","1,490.2",979.4,240.1,681.3,929.9,364.2,14.1,11.7,5.2,4.3,13.9,34.5,9.2,7.0,979.5,"3,909.6",337.1,"3,572.6",551.8,629.8,850.7,630.3,220.4,545.4,564.6,"1,153.2","2,335.9","6,297.0","8,632.9","2,482.1",206.8,"1,051.4","1,978.4",727.9,"2,186.2","1,420.1",205.0,310.5,171.8,78.9,"8,632.9","1,127",501,281,"2,332","1,566",22,412,157,175,"2,584","1,534",9,"1,261","9,629",$252.36,$211.98,$242.26,$242.26,$227.12,$227.12,$242.26,$227.12,802.9,18.0,184.9,34.3,565.7,233.7,0.4,568.8
2046,"6,011","-3,107","9,119",912,"-7,734","8,646","4,128","2,986","2,162",-630,52.8,0.9,0.7,0.31,$242.50,52.8,0.9,"9,530.1","8,550.2","3,575.4","1,415.6",943.0,223.5,687.6,922.7,356.1,13.6,11.0,4.2,4.4,15.0,35.4,9.4,7.0,976.4,"3,885.1",327.7,"3,557.4",548.1,620.7,834.7,617.1,217.6,546.9,555.1,"1,131.4","2,289.4","6,260.8","8,550.2","2,465.0",206.3,"1,057.3","1,930.3",707.3,"2,184.1","1,416.0",216.2,308.7,166.0,77.2,"8,550.2","1,065",475,273,"2,217","1,493",22,383,148,171,"2,420","1,003",5,"1,188","8,646",$262.71,$230.37,$254.62,$254.62,$242.50,$242.50,$254.62,$242.50,904.9,28.3,196.5,50.3,629.7,274.1,0.3,630.4
2047,"4,096","-4,005","8,101",-408,"-8,038","7,630","3,966","2,754","1,634",-724,45.5,0.8,0.6,0.27,$257.92,45.5,0.8,"9,582.0","8,474.0","3,624.2","1,345.0",907.6,207.9,695.0,915.5,349.1,13.0,10.3,3.3,4.5,16.1,36.2,9.6,7.0,973.5,"3,864.2",318.4,"3,545.8",544.5,613.1,819.8,604.7,215.1,548.2,545.3,"1,110.0","2,244.5","6,229.6","8,474.0","2,448.4",205.7,"1,064.0","1,884.3",686.4,"2,185.2","1,414.9",227.7,307.0,160.1,75.6,"8,474.0","1,005",451,264,"2,106","1,424",21,356,138,167,"2,257",426,2,"1,118","7,630",$273.09,$248.81,$267.02,$267.02,$257.92,$257.92,$267.02,$257.92,"1,050.4",43.1,211.6,71.7,723.9,329.0,0.2,721.2
2048,"2,575","-4,878","7,453","-1,314","-8,299","6,985","3,791","2,559","1,422",-788,40.7,0.7,0.5,0.25,$273.37,40.7,0.7,"9,632.7","8,408.1","3,676.6","1,278.4",873.0,193.1,702.6,908.1,341.8,12.5,9.8,2.9,4.6,16.4,37.0,9.8,6.9,971.8,"3,849.0",310.5,"3,538.5",541.4,606.0,806.2,593.3,213.0,549.6,536.8,"1,088.6","2,202.2","6,205.9","8,408.1","2,435.7",205.4,"1,072.9","1,839.6",665.7,"2,188.7","1,415.2",239.3,305.3,154.7,74.2,"8,408.1",950,429,256,"2,000","1,357",20,330,130,164,"2,089",208,0,"1,052","6,985",$283.50,$267.30,$279.45,$279.45,$273.37,$273.37,$279.45,$273.37,"1,181.6",63.2,231.0,99.7,787.7,401.1,0.1,780.3
2049,"1,194","-5,697","6,891","-2,107","-8,531","6,424","3,621","2,404","1,224",-825,36.6,0.7,0.5,0.23,$288.88,36.6,0.7,"9,682.3","8,344.9","3,730.7","1,214.4",839.7,179.2,709.8,898.5,334.8,12.0,9.3,2.6,4.6,17.1,37.5,9.9,6.8,969.6,"3,836.8",303.0,"3,533.8",538.9,597.9,791.9,581.2,210.8,552.4,527.7,"1,068.5","2,161.0","6,184.0","8,344.9","2,420.0",205.2,"1,081.7","1,797.2",646.2,"2,194.6","1,417.2",251.2,303.7,149.6,72.9,"8,344.9",897,405,248,"1,900","1,294",19,304,122,161,"1,909",71,0,994,"6,424",$293.94,$285.84,$291.92,$291.92,$288.88,$288.88,$291.92,$288.88,"1,303.9",89.3,255.5,134.1,824.9,492.2,0.1,811.7
2050,-115,"-6,433","6,318","-2,901","-8,752","5,852","3,440","2,248","1,016",-853,32.6,0.6,0.4,0.21,$304.43,32.6,0.6,"9,730.6","8,293.8","3,786.8","1,152.5",809.5,166.2,717.1,889.6,329.4,11.4,8.9,2.3,4.7,17.7,38.2,10.0,6.8,967.7,"3,829.4",295.8,"3,533.6",536.9,590.6,779.1,570.3,208.8,556.3,519.8,"1,050.9","2,123.8","6,170.0","8,293.8","2,408.0",205.0,"1,092.6","1,756.9",628.2,"2,203.0","1,420.7",263.3,302.2,145.0,71.7,"8,293.8",847,383,240,"1,800","1,236",12,278,116,158,"1,717",-78,0,943,"5,852",$304.43,$304.43,$304.43,$304.43,$304.43,$304.43,$304.43,$304.43,"1,434.2",121.7,285.1,174.3,853.1,601.6,0.0,832.6
